SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O)O)C)C)C)OC1",42,Done,103.84,-5.08633,"grid_allosteric",0,-0.660888,-5.08633,-2.66498,,-2.01982,0,0,0,0.316085,0.014247,0,0,0,0,0,1,-0.0709795,0,-5.08633,-24.6949,-8.81184,-33.5068,3.88568,-40.2244
C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)C)OC1",43,Done,143.97,-5.8411,"grid_allosteric",0,-0.578125,-5.8411,-2.88,,-2.61007,0,0,0,0.353881,0.0199138,0,0,0,0,0,1,-0.146704,0,-5.8411,-27.9006,-7.70833,-35.6089,8.70955,-48.2736
C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O)O)C)C)C)OC1",44,Done,176.94,-8.09521,"grid_allosteric",0,-0.867841,-8.09521,-4.45696,,-2.74824,0,0,0,0.2027,0.00666662,0,0,0,0,0,1,-0.231538,0,-8.09521,-31.8342,-11.5712,-43.4054,6.73969,-58.3115
C=C[C@H](/C=C/c1ccc(O)cc1)c1ccc(O)cc1,"C=C[C@H](/C=C/C1=CC=C(C=C1)O)C2=CC=C(C=C2)O",45,Done,32.6,-3.09179,"grid_allosteric",0,-0.919551,-3.09179,-1.33,,-0.894457,-0.5,0,0,0.415953,0.472494,-0.336234,0,0,0,0,1,0,0,-3.09179,-15.7067,-12.2607,-27.9674,1.3996,-34.7699
C=C[C@@H](/C=C/c1ccc(O)cc1)c1ccc(O)c(OC)c1,"COC1=C(C=CC(=C1)[C@@H](C=C)/C=C/C2=CC=C(C=C2)O)O",46,Done,41.78,-5.52459,"grid_allosteric",0,-0.723624,-5.52459,-2.54977,,-2.41467,-0.5,0,0,0.274381,0.389085,0,0,0,0,0,1,0,0,-5.52459,-19.23,-9.64832,-28.8783,4.49038,-36.3584
C/C1=C\CCC2=C[C@H](C/C(C)=C/CC1)OC2=O,"C/C/1=C\CCC2=C[C@H](C/C(=C/CC1)/C)OC2=O",47,Done,2.96,-2.83367,"grid_allosteric",0,-0.352604,-2.83367,-1.05,,-1.22605,-0.5,0,0,0.294982,0,0,0,0,0,0,1,0,0,-2.83367,-16.5064,-4.70139,-21.2078,0,-25.677
CC(=O)OC[C@]1(O)[C@@H](O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1[C@H](OC(C)=O)[C@@]3(O)OC2,"CC(=O)OC[C@]1([C@@H]2CC[C@H]3[C@]45CCCC([C@H]4[C@@H]([C@]([C@@]3([C@@H]1O)C2O)(OC5)O)OC(=O)C)(C)C)O",48,Done,63.96,-3.99866,"grid_allosteric",0,-0.761859,-3.99866,-2.43733,,-1.03041,0,9.69754e-08,0,0.338587,0.118252,-0.225893,0,0,0,0,1,0,0,-3.99866,-20.3321,-10.1581,-30.4902,0,-37.83
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,"CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C",49,Done,42.45,-2.66081,"grid_allosteric",0,0.0193,-2.66081,0,,-2.8548,-0.117644,0,0,0.262168,0.196765,-0.166601,0,0,0,0,1,0,0,-2.66081,-24.6357,0.257333,-24.3783,5.20548,-28.6225
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCc1ccc(OCCC(=O)O)cc1,"CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1=CC=C(C=C1)OCCC(=O)O",50,Done,149.76,-0.312551,"grid_allosteric",0,-0.641328,-0.312551,-1.34299,,-3.30317,0,0.00246791,0,4.32953,0.742241,0,0,0,0,0,1,-0.0993045,0,-0.312551,-32.479,-8.55103,-41.0301,14.4978,-35.7796
C=C[C@@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,"C[C@]12CCCC([C@@H]1CC[C@@]([C@@H]2CC[C@@](C)(C=C)O)(C)O)(C)C",51,Done,26.92,-2.59685,"grid_allosteric",0,-0.425022,-2.59685,-1.25824,,-0.889474,-0.471671,0,0,0.364281,0.333277,-0.25,0,0,0,0,1,0,0,-2.59685,-12.5579,-5.66696,-18.2249,1.27249,-24.7283
COc1cc(O)cc(OC(C)=O)c1,"CC(=O)OC1=CC(=CC(=C1)OC)O",52,Done,19.28,-0.782575,"grid_allosteric",0,-0.568072,-0.782575,-2.02973,,-0.621279,-0.5,2.72415,0,0.00809153,0.204263,0,0,0,0,0,1,0,0,-0.782575,-14.199,-7.57429,-21.7733,0,-28.3215
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,"CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(C)C",53,Done,41.32,-2.45746,"grid_allosteric",0,-0.271835,-2.45746,-0.7,,-1.72599,-0.124364,0,0,0.166224,0.198504,0,0,0,0,0,1,0,0,-2.45746,-18.5987,-3.62446,-22.2232,1.3809,-27.8344
CC1=C[C@@H](O)C(C)(C)C=CC1=O,"CC1=CC(C(C=CC1=O)(C)C)O",54,Done,4.1,-2.65266,"grid_allosteric",0,-0.323048,-2.65266,-1.05,,-0.898957,-0.5,0,0,0.119343,0,0,0,0,0,0,1,0,0,-2.65266,-14.3235,-4.3073,-18.6308,0.471597,-20.4938
COCC1=C/[C@@H]2OC(=O)[C@H](C)[C@]2(O)[C@@H](OC(C)=O)[C@H]2[C@@](C)([C@@H](OC(C)=O)/C=C/1)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@]21CO1,"C[C@H]1C(=O)O[C@@H]/2[C@]1([C@H]([C@H]3[C@@]([C@H](/C=C/C(=C2)/COC)OC(=O)C)([C@H]([C@H]([C@H]([C@]34CO4)OC(=O)C)OC(=O)C)OC(=O)C)C)OC(=O)C)O",55,Done,119.27,-3.00231,"grid_allosteric",0,-0.0867974,-3.00231,-0.980739,,-1.74624,0,2.79065e-06,0,0.103102,0.0629994,-0.257664,0,0,0,0,1,-0.0969758,0,-3.00231,-29.062,-1.1573,-30.2193,6.92945,-37.5256
CC(=O)O[C@H]1C[C@@]23C(=C1C)[C@@](O)(C(=O)OC2(C)C)[C@]1(C)[C@@H](O)C[C@H]2OC[C@@]2(OC(C)=O)[C@@H]1[C@@H]3OC(=O)c1ccccc1,"CC1=C2[C@@]3(C[C@@H]1OC(=O)C)[C@H]([C@@H]4[C@]([C@@]2(C(=O)OC3(C)C)O)([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)C)OC(=O)C6=CC=CC=C6",56,Done,108.87,-3.29796,"grid_allosteric",0,-0.325269,-3.29796,-2.2268,,-1.16935,0,0.00726066,0,0.329418,0.0867791,0,0,0,0,0,1,0,0,-3.29796,-24.8692,-4.33692,-29.2062,6.33298,-36.6041
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,"CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C",57,Done,294.96,-4.87796,"grid_allosteric",0,-1.02605,-4.87796,-2.49291,,-2.05666,0,0.00141176,0,0.684988,0.0505554,0,0,0,0,0,1,-0.0392925,0,-4.87796,-31.1741,-13.6807,-44.8547,6.77653,-57.538
CC(=O)O[C@H]1[C@@H]2[C@]3(OC(C)=O)CO[C@@H]3C[C@H](O)[C@@]2(C)[C@@H](O)[C@H](O)C2=C(C)[C@@H](O)C[C@]21C(C)(C)O,"CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@]2(C[C@@H]1O)C(C)(C)O)OC(=O)C)(CO4)OC(=O)C)O)C)O)O",58,Done,72.07,0.0112522,"grid_allosteric",0,-0.791802,0.0112522,-2.10503,,-1.34867,0,4.00118,0,0.144366,0.111217,0,0,0,0,0,1,0,0,0.0112522,-20.7082,-10.5574,-31.2656,8.23544,-38.3468
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]23C[C@H](O)C(C)=C2[C@@]1(O)C(=O)OC3(C)C,"CC1=C2[C@@]3(C[C@@H]1O)[C@H]([C@H]4[C@]([C@@]2(C(=O)OC3(C)C)O)([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)C)OC(=O)C6=CC=CC=C6",59,Done,56.04,-4.62536,"grid_allosteric",0,-0.887263,-4.62536,-2.7852,,-1.34281,0,1.72535e-07,0,0.269441,0.120467,0,0,0,0,0,1,0,0,-4.62536,-19.7509,-11.8302,-31.5811,0.815868,-41.8186
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)[C@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O",60,Done,169.39,-5.80757,"grid_allosteric",0,-1.04982,-5.80757,-3.89307,,-1.14287,0,0,0,0.262068,0.0161171,0,0,0,0,0,1,0,0,-5.80757,-19.7667,-13.9976,-33.7643,0,-45.0069
COC(C)(C)/C=C/[C@H](O)[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(C)(C)[C@@H]3C[C@H](O)[C@]12C,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H](CC[C@]6([C@@]5([C@H](C[C@H]4C3(C)C)O)C)C)[C@@](C)(C(/C=C/C(C)(C)OC)O)O)C)CO)O)O)O)O)O",61,Done,271.78,-7.73317,"grid_allosteric",0,-1.02631,-7.73317,-3.86516,,-3.05548,0,0,0,0.312386,0.0380022,0,0,0,0,0,1,-0.136614,0,-7.73317,-32.3275,-13.6841,-46.0116,6.09792,-57.2287
CC(=O)O[C@H]1CO[C@@H](O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](O[C@H]3[C@@H](O[C@H]4CC[C@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)CC[C@]7(C(=O)O)CC[C@]56C)[C@]4(C)CO)OC[C@@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@H]1OC(C)=O,"C1[C@@H]([C@@]([C@H]2[C@@](C1)([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O)C)C)C)(C)CO)O[C@H]1OC[C@H]([C@H]([C@H]1O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)OC(=O)C)OC(=O)C)O)O)O)O",62,Done,329.34,-6.24973,"grid_allosteric",0,-0.581536,-6.24973,-2.87313,,-3.21164,0,0.000190397,0,0.777517,0.00668539,0,0,0,0,0,1,-0.367817,0,-6.24973,-32.0731,-7.75381,-39.8269,9.2653,-48.6311
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)[C@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O",63,Done,337.64,-8.3975,"grid_allosteric",0,-1.40891,-8.3975,-4.91385,,-1.98319,0,0,0,0.163997,0.00409536,0,0,0,0,0,1,-0.259639,0,-8.3975,-31.4212,-18.7854,-50.2066,11.4249,-61.492
CC(C)=CC[C@H](O)[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(C)(C)[C@@H]3C[C@H](O)[C@]12C,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H](CC[C@]6([C@@]5([C@H](C[C@H]4C3(C)C)O)C)C)[C@@](C)(C(CC=C(C)C)O)O)C)CO)O)O)O)O)O",64,Done,238.19,-6.45628,"grid_allosteric",0,-0.962447,-6.45628,-3.51,,-2.4061,0,0,0,0.374161,0.0498702,0,0,0,0,0,1,-0.00176036,0,-6.45628,-28.1376,-12.8326,-40.9702,12.9793,-49.5586
COC(C)(C)/C=C/[C@H](O)[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(C)(C)[C@@H]3C[C@H](O)[C@]12C,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H](CC[C@]6([C@@]5([C@H](C[C@H]4C3(C)C)O)C)C)[C@@](C)(C(/C=C/C(C)(C)OC)O)O)C)CO)O)O)O)O)O",65,Done,293.89,-7.73317,"grid_allosteric",0,-1.02631,-7.73317,-3.86516,,-3.05548,0,0,0,0.312386,0.0380022,0,0,0,0,0,1,-0.136614,0,-7.73317,-32.3275,-13.6841,-46.0116,6.09792,-57.2287
CC(=O)O[C@H]1[C@@H](O)CO[C@@H](O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)CC[C@]7(C(=O)O)CC[C@]56C)[C@]4(C)CO)O[C@@H](C)[C@H](O)[C@H]3O)[C@@H]2O)[C@@H]1O,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@H](CO8)O)OC(=O)C)O)O)O)O",66,Done,297.28,-6.56744,"grid_allosteric",0,-1.02973,-6.56744,-3.95833,,-1.95742,0,0.000158337,0,0.401007,0.00233837,0,0,0,0,0,1,-0.0254655,0,-6.56744,-29.3071,-13.7297,-43.0368,0,-60.2934
CC(=O)O[C@H]1CO[C@@H](O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)CC[C@]7(C(=O)O)CC[C@]56C)[C@]4(C)CO)O[C@@H](C)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@H]1O,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@H](CO8)OC(=O)C)O)O)O)O)O",67,Done,311.28,-7.51061,"grid_allosteric",0,-0.868402,-7.51061,-3.76861,,-3.09264,0,0.00815989,0,0.261123,0.00233837,0,0,0,0,0,1,-0.0525853,0,-7.51061,-38.1985,-11.5787,-49.7772,9.00669,-63.7854
CC(=O)O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)CC[C@]7(C(=O)O)CC[C@]56C)[C@]4(C)CO)O[C@@H](C)[C@H](O)[C@H]3O)[C@@H]2O)[C@@H]1OC(C)=O,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)OC(=O)C)OC(=O)C)O)O)O",68,Done,356.5,-5.2105,"grid_allosteric",0,-0.86432,-5.2105,-3.24193,,-2.72921,0,0.00244909,0,1.61953,0.0037276,0,0,0,0,0,1,-0.000751475,0,-5.2105,-34.6314,-11.5243,-46.1557,6.41625,-56.5196
COC1=C[C@]23CCN(C)[C@H](Cc4cc(OC)c(O)cc42)C3=CC1=O,"CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=CC(=C(C=C34)O)OC)OC",69,Done,12.68,-3.99011,"grid_allosteric",0,-0.60448,-3.99011,-1.91619,,-1.20132,-0.408752,0,0,0.140639,0,0,0,0,0,0,1,0,0,-3.99011,-17.1242,-8.05973,-25.1839,2.09644,-33.6739
COC1=C[C@@]23CCN(C)[C@@H](Cc4ccc(OC)c(O)c42)C3=CC1=O,"CN1CC[C@@]23C=C(C(=O)C=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)OC",70,Done,11.5,-3.25999,"grid_allosteric",0,-0.366161,-3.25999,-1.18,,-1.2776,-0.408752,0,0,0.197524,0,-0.225,0,0,0,0,1,0,0,-3.25999,-18.9214,-4.88214,-23.8036,2.35954,-28.4812
NC(=O)N1CCCC1=O,"C1CC(=O)N(C1)C(=O)N",71,Done,3.82,-3.15693,"grid_allosteric",0,-0.309542,-3.15693,-1.00629,,-1.00519,-0.5,0,0,0,0,0,0,0,0,0,1,-0.335913,0,-3.15693,-12.5037,-4.12723,-16.6309,3.25699,-18.6832
Cc1ccc2c(n1)C[C@H](C(C)(C)O)CC[C@H]2C,"C[C@@H]1CC[C@H](CC2=C1C=CC(=N2)C)C(C)(C)O",72,Done,12.95,-2.99828,"grid_allosteric",0,-0.272428,-2.99828,-0.7,,-1.23538,-0.5,0,0,0,0.134984,-0.425457,0,0,0,0,1,0,0,-2.99828,-18.2859,-3.63237,-21.9183,0.209186,-26.1175
C[C@H](CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,"C[C@H](CC(=O)C[C@@H](C)C(=O)O)[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O)C)C)O",73,Done,72.71,-4.87201,"grid_allosteric",0,-0.607801,-4.87201,-1.23343,,-2.72639,0,0,0,0.0285169,0.196323,0,0,0,0,0,1,-0.52923,0,-4.87201,-36.0913,-8.10401,-44.1953,6.25538,-51.6628
C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,"C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C",74,Done,32.61,-4.10441,"grid_allosteric",0,-0.332419,-4.10441,-2.02531,,-1.84066,0,0,0,0.161573,0.16396,0,0,0,0,0,1,-0.23155,0,-4.10441,-26.1589,-4.43225,-30.5911,3.32061,-32.9285
CCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H]2CC[C@@H](CCCCCCCCCC[C@H](O)CC3=C[C@H](C)OC3=O)O2)O1,"CCCCCCCCC[C@@H]([C@@H]1CC[C@H](O1)[C@@H]2CC[C@H](O2)CCCCCCCCCC[C@@H](CC3=C[C@@H](OC3=O)C)O)O",75,Done,437.09,-3.09454,"grid_allosteric",0,-0.438966,-3.09454,-1.30325,,-4.72153,0,0,0,2.82351,0.545689,0,0,0,0,0,1,0,0,-3.09454,-37.1337,-5.85288,-42.9866,13.3613,-51.0229
CCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H]2CC[C@@H](CCCCCCCCCC[C@H](O)CC3=C[C@H](C)OC3=O)O2)O1,"CCCCCCCCC[C@@H]([C@@H]1CC[C@@H](O1)[C@H]2CC[C@H](O2)CCCCCCCCCC[C@@H](CC3=C[C@@H](OC3=O)C)O)O",76,Done,407.47,-4.19524,"grid_allosteric",0,-0.688617,-4.19524,-2.42993,,-3.04536,0,1,0,0.422973,0.545689,0,0,0,0,0,1,0,0,-4.19524,-33.5582,-9.18157,-42.7398,10.4414,-54.7357
CCC[C@@H](O)[C@H](O)CCCCCCCC[C@@H](O)[C@H]1CC[C@H](CCCCCCCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,"CCC[C@H]([C@@H](CCCCCCCC[C@H]([C@H]1CC[C@@H](O1)CCCCCCCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O",77,Done,425.84,-4.88541,"grid_allosteric",0,-0.979056,-4.88541,-2.67129,,-5.16796,0,0,0,3.48706,0.582172,0,0,0,0,0,1,-0.13634,0,-4.88541,-39.6928,-13.0541,-52.7468,21.5612,-67.7311
CCCCCCCCCC[C@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H]([C@H](O)CCCC[C@H](O)CCCCC[C@@H](O)CC3=C[C@H](C)OC3=O)O2)O1,"CCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCC[C@@H](CCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O)O",78,Done,433.09,-4.82671,"grid_allosteric",0,-1.12717,-4.82671,-3.50452,,-2.35339,0,0,0,1.68638,0.471989,0,0,0,0,0,1,0,0,-4.82671,-27.8216,-15.0289,-42.8505,15.27,-52.1639
CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@@H]([C@@H](O)CCCCCC[C@@H](O)CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,"CCCCCCCCCCCC[C@H]([C@H]1CC[C@H](O1)[C@H](CCCCCCC(CCCCC[C@H](CC2=C[C@@H](OC2=O)C)O)O)O)O",79,Done,335.08,-4.14825,"grid_allosteric",0,-1.03315,-4.14825,-3.07234,,-3.7446,0,0,0,3.30366,0.567872,0,0,0,0,0,1,-0.169693,0,-4.14825,-34.0014,-13.7753,-47.7767,13.1973,-54.0695
CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H]([C@H](O)CCCCCCCCCC[C@@H](O)CC3=C[C@H](C)OC3=O)O2)O1,"CCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O",80,Done,401.3,-5.82035,"grid_allosteric",0,-1.18055,-5.82035,-3.3685,,-4.03982,0,0,0,2.26624,0.502287,0,0,0,0,0,1,0,0,-5.82035,-33.3973,-15.7407,-49.1379,19.7988,-51.0826
