SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
C[C@H]1CC[C@]2(NC1)O[C@H]1C[C@@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](C)[C@H](O)[C@H](O)[C@@H]7O)[C@H](O)[C@@H]6O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)NC1",12,Done,154.98,-8.34566,"grid_allosteric",0,-1.50409,-8.34566,-5.57484,,-1.65622,0,0,0,0.387031,0.0874654,0,0,0,0,0,1,-0.0850189,0,-8.34566,-24.8443,-20.0545,-44.8988,8.63956,-60.1516
C[C@H]1CC[C@@H]([C@H](C)[C@H]2[C@@H](O)C[C@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@@H]6O)CC[C@@]5(C)[C@H]4CC[C@@]32C)NC1,"CC1CCC(NC1)C(C)C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)O)C)C)O",13,Done,45.92,-4.61474,"grid_allosteric",0,-0.716411,-4.61474,-1.5322,,-2.71514,0,0,0,0.256664,0.0923429,0,0,0,0,0,1,0,0,-4.61474,-26.2429,-9.55214,-35.7951,4.87438,-49.0165
C[C@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@H]5CC[C@]43C)[C@@H]2[C@@H]1C,"CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O",14,Done,24.81,-2.48734,"grid_allosteric",0,-0.345459,-2.48734,-1.33,,-1.12359,0,0,0,0.270411,0.0412987,0,0,0,0,0,1,0,0,-2.48734,-21.817,-4.60612,-26.4231,0.427736,-31.29
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,"C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O",15,Done,8.01,-6.31528,"grid_allosteric",0,-0.592276,-6.31528,-2.88,,-2.44795,-0.5,0,0,0,0.104946,0,0,0,0,0,1,0,0,-6.31528,-20.7734,-7.89701,-28.6704,1.11583,-37.1321
O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@@H](O)[C@@H](O)[C@H]1O,"C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O",16,Done,29.93,-5.97467,"grid_allosteric",0,-1.0531,-5.97467,-3.22432,,-1.99413,-0.0121299,0,0,0.136791,0.17222,0,0,0,0,0,1,0,0,-5.97467,-23.919,-14.0413,-37.9604,2.38678,-52.4065
CO[C@H]1C[C@H](O[C@@H]2[C@@H](OC)[C@H](O)[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@@H]5C(=O)O[C@@H]6CO[C@]7(C)OC(=O)/C(=C/C[C@H]54)[C@H]67)C3)O[C@@H]2C)O[C@H](C)[C@@H]1O[C@@H]1C[C@H](OC)[C@H](O)[C@H](C)O1,"CC1C(C(CC(O1)OC2C(OC(CC2OC)OC3C(OC(C(C3OC)O)OC4CCC5(C6CC=C7C8C(COC8(OC7=O)C)OC(=O)C6CC=C5C4)C)C)C)OC)O",17,Done,118.52,-4.8446,"grid_allosteric",0,-0.517662,-4.8446,-1.77363,,-2.96127,0,0,0,0.364032,0.0829482,0,0,0,0,0,1,-0.0390176,0,-4.8446,-33.4183,-6.90216,-40.3205,4.81459,-46.1386
CO[C@H]1C[C@H](O[C@@H]2[C@@H](OC)[C@H](O)[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@@H]5C(=O)O[C@@H]6CO[C@]7(C)OC(=O)/C(=C\C[C@H]54)[C@H]67)C3)O[C@@H]2C)O[C@H](C)[C@@H]1O[C@@H]1C[C@H](OC)[C@H](O)[C@H](C)O1,"CC1C(C(CC(O1)OC2C(OC(CC2OC)OC3C(OC(C(C3OC)O)OC4CCC5(C6CC=C7C8C(COC8(OC7=O)C)OC(=O)C6CC=C5C4)C)C)C)OC)O",18,Done,124.76,-5.21902,"grid_allosteric",0,-0.691594,-5.21902,-1.88854,,-2.97789,0,0,0,0.436742,0.0829482,0,0,0,0,0,1,-0.180686,0,-5.21902,-35.0734,-9.22126,-44.2946,6.54813,-50.0332
COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,"C[C@@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@@H]1O[C@H]([C@H]1O)[C@H](Oc(cc(cc2C(c3cc(C)cc(O)c33)=O)OC)c2C3=O)O[C@H](CO)[C@H]1O",19,Done,72.24,-7.37502,"grid_allosteric",0,-1.02106,-7.37502,-3.84,,-2.95811,0,7.86504e-05,0,0.506961,0.0805759,0,0,0,0,0,1,-0.143466,0,-7.37502,-32.7148,-13.6142,-46.3289,5.36635,-56.5641
CC[C@H](C[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2C3=CC(=O)[C@H]4[C@H](C)[C@@H](OC(=O)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,"CC[C@H](C[C@H]([C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC(=O)[C@@H]4[C@@]3(CC[C@@H]([C@H]4C)OC(=O)C5=CC=CC=C5)C)C)O)C(C)C",20,Done,87.13,-3.26358,"grid_allosteric",0,-0.203144,-3.26358,-0.642691,,-2.49612,0,0.0659664,0,0.0384269,0.16166,-0.172775,0,0,0,0,1,-0.0149018,0,-3.26358,-24.8965,-2.70859,-27.6051,6.43542,-44.1926
C[C@H]1CC[C@@]2(NC1)O[C@@H]1C[C@@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](C)[C@H](O)[C@H](O)[C@@H]7O)[C@H](O)[C@@H]6O)CC[C@@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,"CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)C)C)C)NC1",21,Done,111.82,-7.01311,"grid_allosteric",0,-0.79482,-7.01311,-4.40289,,-2.3745,0,0,0,0.577821,0.00993888,0,0,0,0,0,1,-0.0286617,0,-7.01311,-30.6721,-10.5976,-41.2697,1.88911,-44.8552
