	SMILES
140	C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC[C@@]45[C@]3(C[C@H]([C@@]6([C@H]4CC(C[C@@H]6O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C)[C@H](O5)O)O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@H](CO8)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
141	CC1=CC[C@@H](OC1=O)[C@H](C)C2=CC[C@]3([C@@H]4CC[C@@H]5C(=C[C@]4(C[C@H]3C2=C)O)C=CC(=O)OC5(C)C)C
142	CC1=CC[C@@H](OC1=O)[C@H](C)C2=CC[C@]3([C@@H]4C[C@H]([C@@H]5C(=C[C@]4(C[C@H]3C2=C)O)C=CC(=O)OC5(C)C)O)C
143	CN1CCC2=CC(=C3C=C2[C@H]1CC4=CC5=C(C=C4)OC6=C7[C@@H](CC8=CC(=C(C=C8)O)O3)N(CCC7=CC(=C6OC5)OC)C)OC
144	CN1CCC2=CC(=C3C=C2[C@H]1CC4=CC=C(C=C4)OC5=C6[C@H](CC7=CC(=C(C=C7)O)O3)N(CCC6=CC(=C5OC)OC)C)OC
145	CN1CCC2=CC(=C3C=C2[C@H]1CC4=CC=C(C=C4)OC5=C6[C@H](CC7=CC(=C(C=C7)OC)O3)N(CCC6=CC(=C5OC)O)C)OC
146	C[C@@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H]2CC3=CC(=C(C=C3)O)C4=C(C=CC(=C4)C[C@@H](C(=O)N1)N(C2=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)CC6=CC=C(C=C6)OC)C)C
147	CCCCCCCCCCCCC(C1CCC(O1)C(CC(CCCCCCCCCCCCC2=CC(OC2=O)C)O)O)O
148	COC1=C(C=C(C=C1)O)C(=O)CCC2=C(C(=C(C=C2O)OC)CC3=CC(=C(C=C3)O)O)OC
149	O1c2cc3CCn4c(c3cc2OC1)cc1c(c4)c(OC)c(OC)cc1
150	CC(=CCC1=C2C(=C(C(=C1OC)CC=C(C)C)O)C(=O)C3=C(N2)C(=CC=C3)O)C
151	CC(=CCC1=C2C(=C(C3=C1NC4=CC=CC=C4C3=O)O)C=CC(O2)(C)C)C
152	CN1C2=C(C=CC(=C2OC)O)C(=O)C3=C1C(=C(C=C3O)O)OC
153	CN1C2=C(C=CC=C2O)C(=O)C3=C1C(=C(C=C3O)OC)OC
154	CN1C2=C(C=CC=C2O)C(=O)C3=C1C(=C(C=C3O)O)OC
155	CC(=CCC1=C2C(=C3C(=C1O)C(=O)C4=CC=CC=C4N3)C=CC(O2)(C)C)C
156	COC1=C(C=CC(=C1)/C=C/C(=O)NCCC2=CC=C(C=C2)O)O
157	COC1=CC(=C(C=C1)C(=O)OC)NC(=O)C2=CC=CC=C2O
158	N1C(=O)CNC(=O)[C@H]2N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1[C@@H](C)CC)C(C)C)Cc1ccc(cc1)O)Cc1ccccc1)CCC2
159	CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)CC3=CC=CC=C3)C(C)C
160	CCCC(=O)O[C@H]1C2=C[C@H](C[C@H]3[C@@]2([C@@H](C[C@@H]([C@]3(C)CCC(=C)C=C)C)O)[C@H](O1)OC(=O)C)OC(=O)C(C)CC
161	CCC(C)C(=O)O[C@H]1C[C@@H]2[C@@]([C@H](C[C@H]([C@@]23[C@H](O[C@H](C3=C1)OC)OC(=O)C)O)C)(C)CCC(=C)C=C
162	CCCC(=O)O[C@H]1C2=C[C@H](C[C@H]3[C@@]2([C@@H]([C@@H]([C@@H]([C@]3(C)CCC(=C)C=C)C)OC(=O)C)O)[C@H](O1)OC(=O)C)OC(=O)C(C)CC
163	CCCC(=O)O[C@H]1C2=C[C@H](C[C@H]3[C@@]2([C@@H]([C@@H]([C@@H]([C@]3(C)CCC(=C)C=C)C)O)O)[C@H](O1)OC(=O)C)OC(=O)C(C)CC
164	CCC(C)C(=O)O[C@H]1C[C@@H]2[C@@]([C@H](C[C@H]([C@@]2(C(=C1)C=O)C=O)O)C)(C)CCC(=C)C=C
165	O1[C@H](OC(=O)C)[C@@]23[C@@H]([C@]([C@H](C[C@H]2O)C)(CCC(=C)C=C)C)C[C@@H](OC(=O)[C@@H](CC)C)C=C3[C@@H]1OC(=O)C
166	CC[C@@H](C)C(=O)O[C@H]1C[C@@H]2[C@@]([C@H](C[C@H]([C@@]23[C@H](O[C@H](C3=C1)OC(=O)C)OC(=O)C)O)C)(C)CCC(=C)C=C
167	C/C/1=C\CCC2=C[C@@H](C/C(=C/[C@H]3[C@H](CC1)C(=C)C(=O)O3)/C)OC2=O
168	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
169	CC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)OC4=C(C=C5C(=C4O)C(=O)C[C@@H](O5)C6=CC=C(C=C6)O)OC)O
170	CC1[C@H]2C3C4C5[C@@]1(CCC6=CC(=O)C=C(C(=C56)C4O2)C)C(=O)O3
171	CCCCCCCCCCCCC(C1CCC(O1)C(CCCCCC(CCCCC(CC2=CC(OC2=O)C)O)O)O)O
172	C1=CC(=CC=C1CCNC(=O)/C=C/C2=CC=C(C=C2)O)O
173	C[C@H](C/C=C/C(C)(C)OC)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2C=C[C@]5([C@H]3CC[C@@H](C5(C)C)O[C@H]6[C@@H]([C@@H]([C@@H]([C@H](O6)CO)O)O)O)OC4OC)C)C
174	O1c2c3[C@@H](N(CCc3cc3OCOc23)C)Cc2ccc(Oc3cc(C[C@@H]4N(CCc5c4cc1c(OC)c5)C)ccc3OC)cc2
175	O1c2c3[C@@H](N(CCc3cc(OC)c2O)C)Cc2cc(Oc3ccc(C[C@H]4N(CCc5c4cc1c(OC)c5)C)cc3)c(OC)cc2
176	O([C@@H]1[C@]2([C@@H]3N(CC[C@@]43[C@@H](N(c3c4cc(c(OC)c3)[C@]3(C[C@@H]4C[C@](O)(CN(C4)CCc4c3[nH]c3c4cccc3)CC)C(=O)OC)C=O)[C@@]1(O)C(=O)OC)CC=C2)CC)C(=O)C
177	O1[C@]2([C@@H]1[C@H]1OC(=O)C(=C)[C@@H]1CC/C(=C/CC2)/C)C
178	C1(=C([C@H]([C@H]2[C@@H](C1)OC(=O)C2=C)O)[C@H](CCCO)C)C
179	O1[C@H]2C[C@@]3([C@@H](C[C@@H]2C(=C)C1=O)C(=C)CCC3)C
180	CC1(C)CC[C@H](O)[C@]23CO[C@@]([C@H]([C@H]12)O)(O)[C@@]12C[C@@H](CC[C@@H]31)C(=C)C2=O
181	O1[C@@]2(O)[C@]34[C@H]([C@]5([C@H]([C@H]2O)C(CC[C@@H]5OC(=O)C)(C)C)C1)CC[C@H]([C@H]3O)C(=C)C4=O
182	O1[C@H]2C(C3=C(O)C(=O)[C@]45[C@H]([C@]3(C1)C(=O)C2)CC[C@H](C4)C(=C)C5=O)(C)C
183	O1[C@@]2(O)[C@]34[C@@H]5[C@]6([C@H]([C@@H]2O)C(CC[C@@H]6O)(C)C)[C@H]1O[C@H]3[C@@H](CC5)C(=C)C4=O
184	O1[C@@]2(O)[C@]34[C@H]([C@]5([C@H](C2)C(CC[C@@H]5OC(=O)C)(C)C)C1)CC[C@H]([C@H]3O)C(=C)C4=O
185	O1[C@@]2(O)[C@]34[C@H]([C@]5([C@H]([C@@H]2O)C(CCC5)(C)C)C1)[C@@H](O)C[C@H]([C@H]3O)C(=C)C4=O
186	C1(=CC[C@@]23[C@](CC1)([C@@H](CC2)[C@](/C=C/C=C(/C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)\C)(C)OC3=O)OC(=O)C)C(=O)OC
187	O[C@@H]1C([C@H]2[C@@]([C@@H]3[C@]([C@]4(C(=CC3)[C@H]3[C@@](CC4)(CCC(C3)(C)C)C(=O)O)C)(CC2)C)(CC1)C)(C)C
188	O1[C@H]2[C@H]([C@@]3([C@H]([C@@H]4[C@H]([C@@]5([C@@H](C(=O)C4)C[C@@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO[C@@H]4OC[C@@H](O)[C@@H](O)[C@H]4O)CC5)C)CC3)C2)C)[C@@H]([C@@]21OC[C@@H](CC2)C)C
189	O1[C@@]23[C@@H]4[C@@]5(C[C@@H](OC(=O)C5=C)[C@@]2(OC(=O)[C@@]3(O)CC[C@H]2[C@H]([C@]1(O)C4=O)[C@H](O)C=C1[C@]2(C)C(=O)C=CC1)C)C
190	O1[C@]23[C@H]4[C@]5(C[C@@H]6OC(=O)[C@H]5CO[C@]1(C4=O)[C@@H]1[C@@H](CC[C@@]3(O)C(=O)O[C@@]26C)[C@@]2(C(=CC1)CC=CC2=O)C)C
191	O1[C@@]23[C@@H]4[C@@]5(C[C@@H](OC(=O)[C@H]5C)[C@@]2(OC(=O)[C@]3(O)CC[C@H]2[C@H]([C@]1(O)C4=O)[C@H](O)C=C1[C@]2(C)C(=O)CC=C1)C)C
192	C(CCCCCCCCC)CCCC[C@H]([C@@H]1CC[C@@H]([C@H](CCCCC[C@@H](CC[C@H](O)CC2=C[C@@H](OC2=O)C)O)O)O1)O
193	C(CCCCCCCCC)CCCC[C@H]([C@H]1CC[C@@H]([C@H](C[C@@H](CCCCCC[C@@H](CC2=C[C@@H](OC2=O)C)O)O)O)O1)O
194	C(C[C@H]([C@@H]1CC[C@@H]([C@H](CCCCC[C@@H](CC[C@@H](CC2=C[C@@H](OC2=O)C)O)O)O)O1)O)/C=C\CCCCCCCCCCCC
195	C(CCCCCCC)CCCC[C@@H]([C@@H]1CC[C@@H]([C@H](CCCCC[C@@H](CCCC[C@@H](CC2=C[C@@H](OC2=O)C)O)O)O)O1)O
196	C(CCCCCCCCC)CCCC[C@H]([C@@H]1CC[C@@H]([C@H](CCCCC[C@@H](CCCC[C@@H](CC2=C[C@@H](OC2=O)C)O)O)O)O1)O
197	C(CCCCCCC)CCCC[C@@H]([C@H]1CC[C@@H]([C@H](CCCCC[C@@H](CCCCCC[C@@H](CC2=C[C@@H](OC2=O)C)O)O)O)O1)O
198	COc(c(O)c1)cc(C=C2)c1OC2=O
199	COC(C(c1c2cccc1)=O)=CC2=O
200	CN(C[C@H](c(cc1)ccc1O)O)C(N)=O
201	O=C(C=CC1)O[C@@H]1/C=C\c1ccccc1
202	O=C(C=CC1)O[C@H]1[C@@H]1O[C@H]1c1ccccc1
203	CC(C)([C@@H](CC[C@@]1(C)CCC2)C[C@H]1C2=C)O
204	O[C@H]([C@@H](c1ccccc1)O)/C=C(/C=C1)\OC1=O
205	O[C@H]([C@H](c1ccccc1)O)/C=C(/C=C1)\OC1=O
206	O[C@H]([C@@H](c1ccccc1)O)[C@@H](CC=C1)OC1=O
207	CC(C)([C@@H](C[C@H]([C@](C)(CCC1)C2)C1=C)C2=O)O
208	O[C@H]([C@@H](c1ccccc1)Cl)[C@@H](CC=C1)OC1=O
209	Oc(cc1C(c2c3cccc2)=O)cc(O)c1C3=O
210	Cc(cc1cc2C=C3)ccc1c(OC)c2[OH+]C3=O
211	CO[C@H]([C@H]([C@@H](CC=C1)OC1=O)O)c1ccccc1
212	C[C@]1(CC[C@H]2C3=C)O[C@@H]1CC[C@@]1(C)O[C@@H]1[C@H]2OC3=O
213	OCc(c(O)c1C(c2c3cccc2)=O)ccc1C3=O
214	OCc(c(O)c1)cc(C(c2c3cccc2)=O)c1C3=O
215	Oc(cc(c(O)c1C(c2c3cccc2)=O)O)c1C3=O
216	Cc(c(O)c(c(C(c1c2ccc(O)c1)=O)c1)C2=O)c1O
217	OC[C@H](C1=C2[NH+]=C(C=CC=C3)C3=C2C=C(C(O)=O)N1)O
218	CC(/C=C/c(c([OH+]C(C=C1)=O)c1c(OC)c1)c1OC)=C
219	CC(O[C@@H]([C@H]([C@@H](CC=C1)OC1=O)O)c1ccccc1)=O
220	CC(O[C@H]([C@H](c1ccccc1)O)[C@@H](CC=C1)OC1=O)=O
221	Oc1ccc(CCNC(/C=C/c(cc2)ccc2O)=O)cc1
222	COc(cc1C(c2c3cccc2)=O)c(CO)c(O)c1C3=O
223	C[N@@H+]([C@H]([C@H](CCC1)C([C@@H]2[C@@H](C[C@@H]3OC)O)=O)[C@H]1O)[C@@H]2[C@H]3OC
224	C[C@](CCC1)([C@H](CC[C@H](C2)C(C3)=C)[C@]23CC2)[C@H]2[C@]1(C)C(O)=O
225	COc(cc(ccnc12)c2c2-c(cccc3)c3C1=O)c2OC
226	COc1cc(CCN[C@H]2CC3(C=C4)C=CC4=O)c2c3c1OC
227	C[C@H](CC1)[C@](C)(CC/C(/C)=C\C(O)=O)[C@@H](C2)[C@]1(C)C(C)=C2C=O
228	CC(C)(CCC1)[C@H](CC2)[C@@]1(C)[C@@H](CC/C(/C)=C/C(O)=O)[C@@]2(C)O
229	C[C@](CCC1)([C@H](CC[C@H](C2)[C@H](C3)C(O)=O)[C@]23CC2)[C@H]2[C@]1(C)C=O
230	C[C@H](CC1)[C@](C)(CCC([C@H](O)O2)=CC2=O)[C@@H](CCC2)[C@]1(C)C2=C
231	C[C@H](CC1)[C@](C)(CCC([C@H](O)O2)=CC2=O)[C@@H]2[C@]1(C)C(C)=CCC2
232	C[N@@H+]([C@H]([C@H](CC[C@@H]1O)C([C@@H]2[C@@H](C[C@H]3O)O)=O)[C@H]1OC)[C@@H]2[C@H]3OC
233	C[C@H](CC1)[C@](C)(CCC([C@H](O)O2)=CC2=O)[C@@H](C2)[C@]1(C)C(C)=C2C=O
234	C[C@H](CC1)[C@](C)(CCC([C@H](O)O2)=CC2=O)[C@@H](C2)[C@]1(C)C(C)=CC2=O
235	CC(C)=CCC/C(/C)=C\COc1cc([OH+]C(C=C2)=O)c2cc1OC
236	C[C@H](CC1)[C@](C)(CC/C(/C=O)=C\C(OC)=O)[C@@H]2[C@]1(C)C(C)=CCC2
237	COc(ccc(/C=C/C(NC[C@@H](c(cc1)ccc1O)O)=O)c1)c1O
238	C1Oc2cc(-c3[n+](CC4)cc(c5c(cc6)OCO5)c6c3)c4cc2O1
239	CC(C)(CCC1)[C@@H](C[C@H]2O)[C@]1(C)[C@H]([C@H](C[C@H]([C@H]1O)C3=C)O)[C@@]12C3=O
240	COc1cc(CCN(C2)[C@H]3Cc(cc4)c2c(OC)c4O)c3cc1O
241	CO[C@@H]([C@H]([C@H](C1)NCC2)[C@]2(C[C@@H]2O)c3c1ccc(OC)c3O)[C@H]2O
242	CC(C)([C@@H](C1)OC2)[C@@H]([C@@H](C([C@H](C3)[C@H]4CC[C@H]3C(C=O)=C)=O)O)[C@]24C1=O
243	CC(C)(CCC1)[C@@H](C[C@H]2O)[C@]1(CO)[C@H]([C@H](C[C@H]([C@H]1O)C3=C)O)[C@@]12C3=O
244	CC(C)(CCC1)[C@@H](C[C@H]2O)[C@]1(C)[C@H]([C@H]([C@@H]([C@H]([C@H]1O)C3=C)O)O)[C@@]12C3=O
245	C[C@@]1(CC[C@@H]([C@H](/C=C(\C)/C2)OC3=O)C3=C)O[C@@H]1CCC1=C[C@@H]2OC1=O
246	C[C@](CCC1)(C(OC)=O)c(cc2)c1c(C1=O)c2-c(occ2C)c2C1=O
247	CC(C)(CCC1)[C@H]([C@@H]2O)[C@@]1([C@@H](CC[C@@H]([C@H]1O3)C4=C)[C@@]11C4=O)[C@@H]3O[C@@]12O
248	C[C@H]([C@@]1(C[C@H]2C(OC)=O)C=CCN3[C@H]1[C@]14CC3)[C@]24Nc2c1cccc2
249	CC(C)([C@@H](C1)OC[C@@]2([C@H](CC[C@H](C3)C([C@@H]4O)=C)[C@]34C3=O)C1=O)C2=C3O
250	CC(C)(CCC1)[C@@H](C2)[C@@]1([C@@H]1[C@H](C[C@H]([C@H]3O)C4=C)O)[C@@H](O)O[C@H]2[C@]13C4=O
251	CC(C)([C@@H]([C@@H]([C@]1(O)OC2)O)[C@@]22[C@@H](CC[C@@H](C3)C4=C)[C@@]13C4=O)C=CC2=O
252	CC(C)([C@@H]([C@@H]1O)[C@]23[C@H](CC[C@H](C4)C([C@H]5O)=C)[C@]45[C@]1(O)OC3)C=CC2=O
253	CC(C)(CC1)[C@@H]([C@@H]([C@@]([C@](C2)([C@@H]3O)[C@H]4CC[C@H]2C3=C)(O)OC2)O)[C@]24[C@H]1O
254	CC[C@@]1(C2)C=CCN(CC3)[C@@H]1[C@@]3(c(cccc1)c1N1)C1=C2C(OC)=O
255	C[C@](CC[C@@H]([C@H](/C=C(\C)/C1)OC2=O)C2=C)(/C=C/CC2=C[C@@H]1OC2=O)O
256	C/C(/C[C@@H](C=C1CCC(C(CC[C@H]2C3=C)=C)=O)OC1=O)=C\[C@H]2OC3=O
257	C[C@@](CO1)(CCC[C@@]2(CO3)[C@H]([C@@H](C[C@H](C4)C(C5=O)=C)O)[C@]45C3=O)[C@H]2C1=O
258	CC(C)(CC1)[C@@H]([C@@H]([C@@]([C@@]([C@H]2O)([C@H]3CC[C@@H]2C2=C)C2=O)(O)OC2)O)[C@@]23[C@@H]1O
259	CC(C)(CCC1)[C@@H](C2)[C@@]1([C@@H]1[C@H](C[C@H]([C@H]3O)C4=C)O)[C@@H](OC)O[C@H]2[C@]13C4=O
260	CC(C)(CCC1)[C@H]([C@@H]2O)[C@@]1([C@@H]([C@H](C[C@@H]([C@H]1O3)C4=C)O)[C@]11C4=O)[C@@H]3O[C@@]12O
261	CCO[C@H]([C@@]1([C@H](C2)C(C)(C)CCC1)[C@@H]1[C@H](C[C@H]([C@H]3O)C4=C)O)O[C@H]2[C@]13C4=O
262	CC[C@@]1(C2)C=CCN(CC3)[C@H]1[C@@]3(c(ccc(OC)c1)c1N1)C1=C2C(OC)=O
263	COc(cc(c(c(O)c1CO2)c3)c(-c(cc4)cc5c4OCO5)c1C2=O)c3OC
264	CC(C)(CC[C@H]1O)[C@@H]([C@H]2O)[C@@]1([C@H](CC[C@@H]([C@H]1O)C3=C)[C@]11C3=O)[C@@H](OC)O[C@@]12O
265	CC(C)(CC[C@@H]1O)[C@@H]([C@@H]2O)[C@@]1([C@H](CC[C@H]([C@H]1O)C3=C)[C@@]11C3=O)[C@@H](OC)O[C@@]12O
266	C[C@@H]([C@@H]([C@H](C[C@@H]1N2[C@H]3C[C@]45c(cccc6)c6N=C14)[C@@H]3[C@H]5OC(C)=O)[C@@H]2O)OC
267	CC(C)(CCC1)[C@@H](C[C@H]2O)[C@]1(COC(C)=O)[C@H]([C@H](C[C@H]([C@H]1O)C3=C)O)[C@@]12C3=O
268	CC(C)(CCC[C@@]1(C[C@H]([C@@H](C[C@H](C2)C3=C)OC(C)=O)[C@@]22[C@@H]3O)OC2=O)[C@H]1C=O
269	C[C@](CO)(CCC1)[C@@H](C[C@H]2O)[C@]1(COC(C)=O)[C@H](CC[C@H]([C@H]1O)C3=C)[C@@]12C3=O
270	C[C@H](C[C@]1(C(C)(C)[C@H]1[C@@H]1C=C(CO)C[C@@]([C@H]2C=C3C)(C3=O)O)OC(C)=O)[C@]12O
271	COc1ccc(C[C@@H](c(cc2OC)c(CC3)c(OC)c2OC)N3C2=O)c2c1OC
272	CC(C)(CCC1)[C@@H](C2)[C@@]1([C@@H]1[C@@H](C[C@@H]([C@@H]3O)C4=C)OC(C)=O)[C@@H](OC)O[C@H]2[C@]13C4=O
273	COc(cc(c(c(OC)c1CO2)c3)c(-c(cc4)cc5c4OCO5)c1C2=O)c3OC
274	COc(c(OC)c1)cc([C@]2(CC3)[C@H]4[C@@H]5[C@@H](C6)OCC=C7[C@H]5C[C@@H]2N3C7)c1N4C6=O
275	CC(C)(CC[C@@H]1OC([C@](C[C@@H](C2)C3=C)([C@@H]3OC(C)=O)[C@H]3[C@H]2O[C@H]2C=O)=O)[C@@H]2[C@@]13C=O
276	C[C@H]([C@@]1(C2)C=C[C@H](CC(C)=O)N(CC3)[C@@H]1[C@]3(c(cccc1)c1N1)C1=C2C(OC)=O)O
277	C[C@H]([C@@]1(O[C@H]2C[C@@H]3[C@]4(C)CC[C@H]5[C@@](C)(CC[C@@H](C6)O)C6=CC[C@H]35)OC[C@@H](C)CC1)[C@]24O
278	CC[C@H](CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)C3=C3)[C@H]1[C@@H]2C3=O)C(C)C
279	CC[C@H](CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)C3=C3)[C@H]1[C@@H]2[C@@H]3O)C(C)C
280	CC[C@H](CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@H]1[C@H](CC1=O)[C@H]2[C@@](C)(CC2)C1=CC2=O)C(C)C
281	CC[C@H](CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@H]1[C@H](C[C@H]1O)[C@H]2[C@@](C)(CC2)C1=CC2=O)C(C)C
282	CC[C@H](CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@H]1[C@H](C[C@@H]1O)[C@H]2[C@]2(C)C1=C[C@H](C)CC2)C(C)C
283	CC1(C)C[C@@H]2C3=CC[C@H]([C@](C)(CC4)[C@@H](CC5)C(C)(C)[C@@H]4O)[C@@]5(C)[C@@]3(C)CC[C@@]2(CO)CC1
284	CC(C)[C@H](C[C@H]1O)[C@](C)(CC2)[C@H]1[C@]1(C)[C@]2(C)C2=CC[C@@H](C(C)(C)[C@H](CC3)O)[C@@]3(C)C2=CC1
285	CC(C)[C@@H]1[C@](C)(CC[C@](C)([C@H]2[C@@H](C3)O)[C@]4(C)CC=C2[C@](C)(CC2)[C@@H]3C(C)(C)[C@H]2O)C4=CC1
286	CC[C@H](CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)[C@]3([C@@H]3O)O)[C@H]1[C@@H]2[C@@H]3O)C(C)C
287	CC[C@@H](C(C)C)[C@H]([C@@H]([C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)C3=C3)[C@H]1[C@@H]2C3=O)O)O
288	O[C@H]([C@H](c1ccccc1)O[C@@H]([C@@H]([C@@H](CC=C1)OC1=O)O)c1ccccc1)[C@@H](CC=C1)OC1=O
289	CC(C)([C@H](CC1)[C@](C)(CC2)[C@@H](CC3)[C@]1(C)[C@](C)(CC1)[C@H]3[C@@H]([C@@H](CC3)C(C)=C)[C@@]13C(O)=O)[C@@H]2O
290	C[C@@H](C[C@@H]([C@@](C)([C@@](CC1)([C@@](C)(CC2)[C@@H]1[C@H](C[C@H]1O[C@@]11[C@H](C=C3)O)[C@H]2[C@@]1(C)C3=O)O)O)O1)[C@@H](C)C1=O
291	C[C@H](C[C@H]1O2)[C@H]([C@@](C)(CC3)[C@@](C)([C@H]4O)C5=C3C[C@]3(CC6)O[C@@H]6C(C)(C)[C@@H]3CC5)[C@@]24O[C@@H]1C(C)(C)O
292	C[C@H](C[C@]([C@@H]1O)(OC[C@]1(C)O)O[C@H]1C[C@@]2(C)[C@H](CC3)[C@@](C4)(C5)[C@@]4(CC4)[C@H]3C(C)(C)[C@H]4O)[C@H]1[C@H]2C5=C
293	C[C@H](C[C@H]([C@@H](C(C)(C)O)O)O1)[C@@H]([C@@](C)(CC[C@@]2(C3)[C@]33CC4)[C@@](C)(C=O)C2=CC[C@@H]3C(C)(C)[C@H]4O)C1=O
294	C[C@]([C@@H](C[C@@](C)([C@@H]12)[C@H]3CO[C@@]22[C@@H]([C@H](CC[C@]45O)[C@H]67)C=CC7=CC=CC6=O)OC3=O)([C@]15OC2=O)OC4=O
295	C[C@H](C[C@]([C@@H]1O[C@@]11C)(O[C@@H]1OC)O[C@H]1C[C@@]2(C)[C@H](CC3)[C@@](C4)(C5)[C@@]4(CC4)[C@H]3C(C)(C)[C@H]4O)[C@H]1[C@H]2C5=C
296	COc(cc(c(c(O[C@@H]([C@@H]1O)OC[C@@]1(CO)O)c1CO2)c3)c(-c(cc4)cc5c4OCO5)c1C2=O)c3OC
297	CC(C)[C@H](C[C@H]1OC(C)=O)[C@](CO)(CC2)[C@H]1[C@]1(C)[C@]2(C)[C@H]([C@H](C[C@@H](C2(C)C)[C@]3(C)CC[C@@H]2O)O)C3=CC1
298	CC(C)[C@H](C[C@H]1OC(C)=O)[C@](CO)(CC2)[C@H]1[C@]1(C)[C@]2(C)[C@H]([C@H](C[C@@H](C2(C)C)[C@]3(C)C=CC2=O)O)C3=CC1
299	C[C@@H]([C@@H]([C@@H](C1)OC(C)=O)[C@@](C)(CC2)[C@H]1[C@@H](C[C@H]1O[C@@]11[C@H](C=C3)O)[C@H]2[C@@]1(C)C3=O)[C@@H](C[C@]1(C)O[C@]11C)O[C@@H]1O
300	C[C@H]([C@@](C)(C[C@H]([C@@H]([C@@]1([C@]2(CC[C@@H]([C@H]3C[C@@H]([C@]4(CC=C5)O)O)[C@H]4C5=O)O)O[C@@]33OC)OC2=O)O2)[C@@H]1C3=O)C2=O
301	C[C@]([C@@H](C[C@@](C)([C@H]12)[C@H]3CO[C@@]22[C@@H]([C@H](CC[C@@]45O)[C@@]6(C)C(C7)=O)C=CC6=C[C@@H]7O)OC3=O)([C@]15OC2=O)OC4=O
302	C[C@H](C[C@H]1O2)[C@H]([C@@](C)(CC3)[C@@](C)([C@H]4O)[C@H](CC5)[C@]3(C3)[C@@]3(CCC(OC)=O)[C@@H]5C(C)(C)O)[C@]24O[C@@H]1C(C)(C)O
303	C[C@H](C[C@H]([C@@H](C(C)(C)OC)OC(C)=O)O[C@@H]12)[C@@H]2[C@@](C)(CC[C@](C2)([C@H]3CC4)[C@@]2(CC2)[C@H]4C(C)(C)[C@H]2O)[C@@]3(C)C1=O
304	C[C@@]([C@H](C[C@@]1(C)[C@@H]2C3=O)O4)([C@]2([C@]2(CC[C@@H]([C@@H]5C[C@H]([C@@]6(CC=C7)O)O)[C@@]6(C)C7=O)O)O[C@@]35OC[C@@H]1C4=O)OC2=O
305	CCCCC/C=C/C=C/C(O[C@@H]([C@@H](C)[C@]([C@@H]1C=C(C)C2=O)([C@H]([C@@H]3C4(C)C)C=C(CO)C[C@]12O)O)[C@]34OC(C)=O)=O
306	C[C@@]([C@@H](C1)[C@@H]1C1)([C@H]1CC1=C2COC(C)=O)[C@H](C[C@]([C@@H](C3)[C@@H]3[C@]3(C)[C@H](C4=O)O)(C3=C3/C4=C(\C)/C(OC)=O)O)[C@]13OC2=O
307	CN(CCc1c2)[C@@H](Cc(cc3)ccc3Oc(cc(CC3=NCC4)cc5)c5O)c1c1Oc5cc3c4cc5Oc1c2OC
308	CC[C@@H](C)CO[C@@H]([C@](C)([C@@](C)(C1)O)O)O[C@H]1[C@@H](C)[C@@H]([C@@H](C1)O)[C@@](C)(CC2)[C@H]1[C@H](C[C@@H]([C@@]1([C@H](C=C3)O)O)O)[C@H]2[C@@]1(C)C3=O
309	C[C@H](C/C=C/C(C)(C)OC)[C@@H](CC1)[C@@](C)(CC2)[C@]1(C)[C@H]([C@H](C=C([C@H]1CC3)C(C)(C)[C@H]3OC(CC(OC)=O)=O)O)[C@]12C=O
